person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
27,96000,0.0,11.0,4.0,4.0,25000,,0,0.26,0.0,6
26,34400,0.0,5.0,2.0,0.0,4200,8.9,0,0.12,0.0,3
23,84000,2.0,7.0,3.0,1.0,25000,12.53,0,0.3,0.0,2
24,43000,0.0,2.0,2.0,2.0,10000,13.16,0,0.23,0.0,4
24,60000,0.0,7.0,4.0,2.0,15000,13.85,0,0.25,1.0,2
28,54924,0.0,6.0,5.0,1.0,2500,11.14,0,0.05,0.0,6
24,23500,2.0,2.0,5.0,1.0,7000,10.38,0,0.3,0.0,3
32,95000,0.0,16.0,4.0,0.0,4000,7.49,0,0.04,0.0,8
22,35000,0.0,6.0,2.0,1.0,5000,,0,0.14,0.0,4
21,23040,1.0,1.0,3.0,3.0,5000,,0,0.22,0.0,3
26,26000,0.0,2.0,5.0,2.0,3825,14.27,0,0.15,0.0,4
39,48500,0.0,1.0,0.0,1.0,5000,10.99,0,0.1,0.0,13
46,40452,1.0,4.0,1.0,1.0,4000,11.71,0,0.1,0.0,17
26,45000,2.0,3.0,1.0,2.0,4000,14.35,0,0.09,1.0,2
22,85000,2.0,3.0,0.0,0.0,10000,5.99,0,0.12,0.0,2
25,70000,0.0,2.0,4.0,2.0,7000,13.79,0,0.1,1.0,2
21,75000,2.0,5.0,0.0,2.0,20000,13.11,0,0.27,1.0,2
31,48000,1.0,0.0,4.0,1.0,1600,9.99,0,0.03,0.0,8
39,44000,0.0,5.0,2.0,1.0,8000,12.53,0,0.18,0.0,14
23,30000,2.0,6.0,1.0,0.0,10000,7.66,0,0.33,0.0,3
24,38000,2.0,4.0,4.0,0.0,8000,7.14,0,0.21,0.0,3
24,45000,0.0,8.0,2.0,1.0,4000,11.83,0,0.09,0.0,2
29,78000,2.0,2.0,0.0,0.0,18000,6.62,0,0.23,0.0,5
25,39000,1.0,2.0,4.0,3.0,4400,14.84,0,0.11,0.0,2
25,75000,2.0,8.0,5.0,0.0,15000,9.63,0,0.2,0.0,3
22,90000,2.0,6.0,1.0,1.0,6400,9.88,0,0.07,0.0,3
28,100000,2.0,13.0,4.0,0.0,12000,7.88,0,0.12,0.0,8
25,70000,2.0,9.0,0.0,0.0,12000,5.79,0,0.17,0.0,2
23,100000,2.0,2.0,0.0,2.0,6850,13.47,0,0.07,0.0,4
24,28000,0.0,8.0,2.0,1.0,1000,12.53,0,0.04,0.0,4
29,78000,2.0,13.0,3.0,2.0,10000,12.73,0,0.13,0.0,7
27,24000,2.0,1.0,3.0,2.0,11000,,0,0.46,1.0,6
22,85000,0.0,0.0,5.0,0.0,10000,7.66,0,0.12,0.0,3
24,75000,2.0,,0.0,0.0,7000,7.66,0,0.09,0.0,3
38,61000,0.0,0.0,1.0,1.0,1000,9.45,0,0.02,0.0,12
37,40000,0.0,8.0,3.0,1.0,5000,12.18,0,0.13,0.0,12
26,145000,0.0,3.0,1.0,2.0,18500,12.87,0,0.13,1.0,3
27,70392,2.0,9.0,3.0,1.0,1500,,0,0.02,0.0,9
23,48000,0.0,0.0,3.0,1.0,10000,9.25,0,0.21,0.0,3
25,38496,2.0,7.0,4.0,0.0,8000,6.03,0,0.21,0.0,3
26,67500,0.0,0.0,1.0,1.0,3000,8.88,0,0.04,0.0,2
25,30000,2.0,0.0,4.0,2.0,6000,14.35,0,0.2,1.0,2
28,92000,0.0,6.0,1.0,1.0,22000,12.69,0,0.24,0.0,9
31,75000,2.0,2.0,1.0,0.0,12000,7.29,0,0.16,0.0,10
40,35820,0.0,0.0,2.0,1.0,3275,8.88,0,0.09,0.0,11
41,65500,2.0,12.0,3.0,0.0,3000,,0,0.05,0.0,15
22,36933,2.0,2.0,3.0,2.0,10000,12.22,0,0.27,1.0,4
30,61000,0.0,4.0,4.0,2.0,7600,,0,0.12,1.0,6
25,79404,3.0,0.0,3.0,3.0,20000,15.05,0,0.25,0.0,3
58,85000,2.0,0.0,0.0,1.0,8000,11.49,0,0.09,0.0,28
30,56628,2.0,2.0,4.0,0.0,12000,8.94,0,0.21,0.0,10
