fpr,tpr
0.000000,0.000000
0.000000,0.000794
0.000000,0.001587
0.000000,0.002381
0.000000,0.003175
0.000000,0.003968
0.000000,0.004762
0.000000,0.005556
0.000000,0.006349
0.000000,0.007143
0.000000,0.007937
0.000000,0.008730
0.000000,0.009524
0.000000,0.010317
0.000000,0.011111
0.000000,0.011905
0.000000,0.012698
0.000000,0.013492
0.000000,0.014286
0.000000,0.015079
0.000000,0.015873
0.000000,0.016667
0.000000,0.017460
0.000000,0.018254
0.000000,0.019048
0.000000,0.019841
0.000000,0.020635
0.000000,0.021429
0.000000,0.022222
0.000000,0.023016
0.000000,0.023810
0.000000,0.024603
0.000000,0.025397
0.000000,0.026190
0.000000,0.026984
0.000000,0.027778
0.000000,0.028571
0.000000,0.029365
0.000000,0.030159
0.000000,0.030952
0.000000,0.031746
0.000000,0.032540
0.000000,0.033333
0.000000,0.034127
0.000000,0.034921
0.000000,0.035714
0.000000,0.036508
0.000000,0.037302
0.000000,0.038095
0.000000,0.038889
0.000000,0.039683
0.000000,0.040476
0.000000,0.041270
0.000000,0.042063
0.000000,0.042857
0.000000,0.043651
0.000000,0.044444
0.000000,0.045238
0.000000,0.046032
0.000000,0.046825
0.000000,0.047619
0.000000,0.048413
0.000000,0.049206
0.000000,0.050000
0.000000,0.050794
0.000000,0.051587
0.000000,0.052381
0.000000,0.053175
0.000000,0.053968
0.000000,0.054762
0.000000,0.055556
0.000000,0.056349
0.000000,0.057143
0.000000,0.057937
0.000000,0.058730
0.000000,0.059524
0.000000,0.060317
0.000000,0.061111
0.000000,0.061905
0.000000,0.062698
0.000000,0.063492
0.000000,0.064286
0.000000,0.065079
0.000000,0.065873
0.000000,0.066667
0.000000,0.067460
0.000000,0.068254
0.000000,0.069048
0.000000,0.069841
0.000000,0.070635
0.000000,0.071429
0.000000,0.072222
0.000000,0.073016
0.000000,0.073810
0.000000,0.074603
0.000000,0.075397
0.000000,0.076190
0.000000,0.076984
0.000000,0.077778
0.000000,0.078571
0.000000,0.079365
0.000000,0.080159
0.000000,0.080952
0.000000,0.081746
0.000000,0.082540
0.000000,0.083333
0.000000,0.084127
0.000000,0.084921
0.000000,0.085714
0.000000,0.086508
0.000000,0.087302
0.000000,0.088095
0.000000,0.088889
0.000000,0.089683
0.000000,0.090476
0.000000,0.091270
0.000000,0.092063
0.000000,0.092857
0.000000,0.093651
0.000000,0.094444
0.000000,0.095238
0.000000,0.096032
0.000000,0.096825
0.000000,0.097619
0.000000,0.098413
0.000000,0.099206
0.000000,0.100000
0.000000,0.100794
0.000000,0.101587
0.000000,0.102381
0.000000,0.103175
0.000000,0.103968
0.000000,0.104762
0.000000,0.105556
