fpr,tpr
0.000000,0.000000
0.000190,0.000000
0.000380,0.000000
0.000571,0.000000
0.000571,0.000794
0.000571,0.001587
0.000571,0.002381
0.000571,0.003175
0.000571,0.003968
0.000761,0.003968
0.000761,0.004762
0.000951,0.004762
0.000951,0.005556
0.000951,0.006349
0.000951,0.007143
0.000951,0.007937
0.000951,0.008730
0.000951,0.009524
0.000951,0.010317
0.000951,0.011111
0.001141,0.011111
0.001141,0.011905
0.001141,0.012698
0.001141,0.013492
0.001141,0.014286
0.001141,0.015079
0.001332,0.015079
0.001332,0.015873
0.001332,0.016667
0.001332,0.017460
0.001332,0.018254
0.001332,0.019048
0.001332,0.019841
0.001332,0.020635
0.001522,0.020635
0.001522,0.021429
0.001712,0.021429
0.001712,0.022222
0.001712,0.023016
0.001712,0.023810
0.001712,0.024603
0.001712,0.025397
0.001712,0.026190
0.001712,0.026984
0.001712,0.027778
0.001712,0.028571
0.001712,0.029365
0.001712,0.030159
0.001712,0.030952
0.001712,0.031746
0.001712,0.032540
0.001712,0.033333
0.001902,0.033333
0.002092,0.033333
0.002092,0.034127
0.002092,0.034921
0.002283,0.034921
0.002283,0.035714
0.002283,0.036508
0.002283,0.037302
0.002283,0.038095
0.002283,0.038889
0.002473,0.038889
0.002473,0.039683
0.002473,0.040476
0.002473,0.041270
0.002473,0.042063
0.002473,0.042857
0.002473,0.043651
0.002473,0.044444
0.002473,0.045238
0.002473,0.046032
0.002663,0.046032
0.002663,0.046825
0.002663,0.047619
0.002663,0.048413
0.002663,0.049206
0.002663,0.050000
0.002663,0.050794
0.002853,0.050794
0.002853,0.051587
0.003044,0.051587
0.003044,0.052381
0.003044,0.053175
0.003044,0.053968
0.003044,0.054762
0.003044,0.055556
0.003044,0.056349
0.003044,0.057143
0.003044,0.057937
0.003044,0.058730
0.003044,0.059524
0.003044,0.060317
0.003044,0.061111
0.003044,0.061905
0.003044,0.062698
0.003234,0.062698
0.003234,0.063492
0.003234,0.064286
0.003424,0.064286
0.003614,0.064286
0.003614,0.065079
0.003614,0.065873
0.003614,0.066667
0.003804,0.066667
0.003995,0.066667
0.003995,0.067460
0.003995,0.068254
0.004185,0.068254
0.004185,0.069048
0.004375,0.069048
0.004565,0.069048
0.004565,0.069841
0.004565,0.070635
0.004756,0.070635
0.004756,0.071429
0.004756,0.072222
0.004756,0.073016
0.004756,0.073810
0.004756,0.074603
0.004756,0.075397
0.004756,0.076190
0.004756,0.076984
0.004756,0.077778
0.004756,0.078571
0.004756,0.079365
0.004756,0.080159
0.004756,0.080952
0.004756,0.081746
0.004756,0.082540
0.004946,0.082540
0.004946,0.083333
0.004946,0.084127
0.004946,0.084921
0.004946,0.085714
0.004946,0.086508
0.004946,0.087302
0.004946,0.088095
0.005136,0.088095
0.005136,0.088889
0.005136,0.089683
0.005136,0.090476
0.005136,0.091270
0.005136,0.092063
0.005136,0.092857
0.005136,0.093651
0.005136,0.094444
0.005136,0.095238
0.005326,0.095238
0.005326,0.096032
0.005326,0.096825
0.005326,0.097619
0.005326,0.098413
0.005326,0.099206
0.005326,0.100000
0.005326,0.100794
0.005516,0.100794
0.005516,0.101587
0.005707,0.101587
0.005707,0.102381
0.005707,0.103175
0.005707,0.103968
0.005707,0.104762
0.005707,0.105556
0.005897,0.105556
0.006087,0.105556
0.006277,0.105556
0.006277,0.106349
0.006277,0.107143
0.006468,0.107143
0.006658,0.107143
0.006848,0.107143
0.006848,0.107937
0.006848,0.108730
0.006848,0.109524
0.007038,0.109524
0.007038,0.110317
0.007228,0.110317
0.007419,0.110317
0.007419,0.111111
0.007609,0.111111
0.007799,0.111111
0.007799,0.111905
0.007799,0.112698
0.007799,0.113492
0.007799,0.114286
0.007799,0.115079
0.007799,0.115873
0.007799,0.116667
0.007799,0.117460
0.007799,0.118254
0.007989,0.118254
0.007989,0.119048
0.008180,0.119048
0.008180,0.119841
0.008180,0.120635
0.008370,0.120635
0.008560,0.120635
0.008750,0.120635
0.008750,0.121429
0.008750,0.122222
0.008940,0.122222
0.008940,0.123016
0.008940,0.123810
0.008940,0.124603
0.009131,0.124603
0.009321,0.124603
0.009511,0.124603
0.009511,0.125397
0.009511,0.126190
0.009511,0.126984
0.009511,0.127778
0.009511,0.128571
0.009701,0.128571
0.009701,0.129365
0.009892,0.129365
0.010082,0.129365
0.010272,0.129365
0.010462,0.129365
0.010652,0.129365
0.010843,0.129365
0.011033,0.129365
0.011033,0.130159
0.011223,0.130159
0.011413,0.130159
0.011604,0.130159
0.011604,0.130952
0.011604,0.131746
0.011604,0.132540
0.011794,0.132540
0.011984,0.132540
0.012174,0.132540
0.012174,0.133333
0.012364,0.133333
0.012364,0.134127
0.012555,0.134127
0.012745,0.134127
0.012935,0.134127
0.012935,0.134921
0.012935,0.135714
0.012935,0.136508
0.013125,0.136508
0.013125,0.137302
0.013125,0.138095
0.013125,0.138889
0.013125,0.139683
0.013125,0.140476
0.013316,0.140476
0.013316,0.141270
0.013506,0.141270
0.013696,0.141270
0.013696,0.142063
0.013696,0.142857
0.013886,0.142857
0.013886,0.143651
0.013886,0.144444
0.013886,0.145238
0.013886,0.146032
0.013886,0.146825
0.014076,0.146825
0.014076,0.147619
0.014267,0.147619
0.014267,0.148413
0.014457,0.148413
0.014647,0.148413
0.014837,0.148413
0.014837,0.149206
0.014837,0.150000
0.015028,0.150000
0.015028,0.150794
0.015218,0.150794
0.015408,0.150794
0.015408,0.151587
0.015598,0.151587
0.015788,0.151587
0.015979,0.151587
0.016169,0.151587
0.016169,0.152381
0.016169,0.153175
0.016359,0.153175
0.016549,0.153175
0.016740,0.153175
0.016740,0.153968
0.016930,0.153968
0.016930,0.154762
0.016930,0.155556
0.016930,0.156349
0.017120,0.156349
0.017120,0.157143
0.017310,0.157143
0.017310,0.157937
0.017310,0.158730
0.017500,0.158730
0.017500,0.159524
0.017691,0.159524
0.017691,0.160317
0.017881,0.160317
0.018071,0.160317
0.018071,0.161111
0.018071,0.161905
0.018071,0.162698
0.018071,0.163492
0.018261,0.163492
0.018261,0.164286
0.018452,0.164286
0.018452,0.165079
0.018452,0.165873
0.018642,0.165873
0.018642,0.166667
0.018832,0.166667
0.019022,0.166667
0.019212,0.166667
0.019212,0.167460
0.019403,0.167460
0.019593,0.167460
0.019593,0.168254
0.019783,0.168254
0.019973,0.168254
0.019973,0.169048
0.019973,0.169841
0.020164,0.169841
0.020164,0.170635
0.020354,0.170635
0.020544,0.170635
0.020734,0.170635
0.020734,0.171429
0.020734,0.172222
0.020734,0.173016
0.020924,0.173016
0.021115,0.173016
0.021305,0.173016
0.021495,0.173016
0.021685,0.173016
0.021876,0.173016
0.021876,0.173810
0.021876,0.174603
0.022066,0.174603
0.022256,0.174603
0.022446,0.174603
0.022446,0.175397
0.022636,0.175397
0.022827,0.175397
0.022827,0.176190
0.022827,0.176984
0.022827,0.177778
0.023017,0.177778
0.023017,0.178571
0.023207,0.178571
0.023397,0.178571
0.023397,0.179365
0.023588,0.179365
0.023588,0.180159
0.023778,0.180159
0.023778,0.180952
0.023968,0.180952
0.024158,0.180952
0.024348,0.180952
0.024348,0.181746
0.024348,0.182540
0.024348,0.183333
0.024539,0.183333
0.024539,0.184127
0.024729,0.184127
0.024729,0.184921
0.024729,0.185714
0.024919,0.185714
0.024919,0.186508
0.024919,0.187302
0.025109,0.187302
0.025300,0.187302
0.025300,0.188095
0.025490,0.188095
0.025680,0.188095
0.025680,0.188889
0.025680,0.189683
0.025870,0.189683
0.025870,0.190476
0.026060,0.190476
0.026251,0.190476
0.026251,0.191270
0.026251,0.192063
0.026251,0.192857
0.026251,0.193651
0.026251,0.194444
0.026441,0.194444
0.026441,0.195238
0.026441,0.196032
0.026631,0.196032
0.026821,0.196032
0.027012,0.196032
0.027012,0.196825
0.027012,0.197619
0.027202,0.197619
0.027202,0.198413
0.027202,0.199206
0.027202,0.200000
0.027202,0.200794
